system_id,comp1,comp2,T_K,x1,y1,P_kPa,Psat1_kPa,Psat2_kPa,source,data_type
7,methanol,benzene,298.15,0.75,0.4849,30.5274,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.8,0.4954,30.1591,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.85,0.5194,29.2445,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.9,0.5692,27.3449,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.95,0.6798,23.6808,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,0.98,0.822,20.084,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
7,methanol,benzene,298.15,1.0,1.0,16.8258,16.8258,12.6394,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.0,0.0,24.2979,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.02,0.5174,49.483,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.04,0.6248,62.8681,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.06,0.6642,69.6449,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.08,0.6798,72.6908,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.1,0.6845,73.6346,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.15,0.6757,72.0281,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.2,0.6557,68.9294,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.25,0.6329,66.1046,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.3,0.6102,63.9282,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.35,0.5889,62.3908,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.4,0.5697,61.3895,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.45,0.5527,60.812,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.5,0.538,60.5571,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.55,0.5258,60.534,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.6,0.5163,60.655,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.65,0.51,60.8229,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.7,0.5077,60.9125,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.75,0.5108,60.7418,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.8,0.5221,60.0252,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.85,0.547,58.2907,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.9,0.5974,54.7332,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.95,0.7056,47.9398,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,0.98,0.8396,41.3234,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
8,methanol,benzene,313.15,1.0,1.0,35.3619,35.3619,24.2979,Nagata_1969_JCED14,lit-NRTL-calc
